run_key,run_label,idx,id,answer,expected_answer,correct,valid_answer,status,closeout_mode,total_tokens,time_taken_seconds,turns,loops,total_prompt_tokens,total_completion_tokens,peer_validation_ready,peer_candidates,athena_confidence_pct
frozen,Frozen pruned,1,aime2026_01,277,277,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,695404,139.609,9,1,690401,5003,,,
frozen,Frozen pruned,2,aime2026_02,62,62,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,710845,184.0094,9,1,702957,7888,,,
frozen,Frozen pruned,3,aime2026_03,79,79,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,702855,157.0014,9,1,696709,6146,,,
frozen,Frozen pruned,4,aime2026_04,70,70,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,699345,149.9743,9,1,693650,5695,,,
frozen,Frozen pruned,5,aime2026_05,65,65,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,716821,196.3436,9,1,708239,8582,,,
frozen,Frozen pruned,6,aime2026_06,441,441,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,697554,143.9269,9,1,692265,5289,,,
frozen,Frozen pruned,7,aime2026_07,396,396,True,True,closed_out_hierarchical_fallback_majority_vote,Majority vote,709711,181.2938,9,1,701994,7717,,,
frozen,Frozen pruned,8,aime2026_08,244,244,True,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,703053,159.9178,9,1,696753,6300,,,
frozen,Frozen pruned,9,aime2026_09,239,29,False,True,closed_out_hierarchical_fallback_majority_vote,Majority vote,719314,206.9014,9,1,710038,9276,,,
frozen,Frozen pruned,10,aime2026_10,195,156,False,True,closed_out_hierarchical_fallback_highest_confidence,Highest confidence,719486,209.8239,9,1,710002,9484,,,
frozen,Frozen pruned,11,aime2026_11,8,896,False,True,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization,Strict consensus,711396,179.6747,9,1,703866,7530,,,
frozen,Frozen pruned,12,aime2026_12,37,161,False,True,closed_out_hierarchical_fallback_highest_confidence,Highest confidence,720114,209.9483,9,1,710631,9483,,,
frozen,Frozen pruned,13,aime2026_13,58,39,False,True,closed_out_hierarchical_fallback_highest_confidence,Highest confidence,720072,210.0039,9,1,710589,9483,,,
frozen,Frozen pruned,14,aime2026_14,382,681,False,True,closed_out_hierarchical_fallback_majority_vote,Majority vote,716369,198.8761,9,1,707625,8744,,,
