idx,id,expected_answer,official_answer,correct,valid_answer,status,closeout_mode,athena_confidence_pct,peer_validation_ready,peer_candidates,peer_statuses,total_tokens,total_prompt_tokens,total_completion_tokens,seconds,turns,loops
1,aime2025_01,277,277,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,105380,88187,17193,228.912,12,1
2,aime2025_02,62,62,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,135253,108359,26894,357.715,12,1
3,aime2025_03,79,79,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,110137,89527,20610,273.909,12,1
4,aime2025_04,70,70,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,111291,90348,20943,279.119,12,1
5,aime2025_05,65,65,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,116443,95322,21121,281.259,12,1
6,aime2025_06,441,441,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,110072,89787,20285,268.673,12,1
7,aime2025_07,396,341,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,99059,81821,17238,229.245,12,1
8,aime2025_08,244,244,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,105509,87432,18077,239.93,12,1
9,aime2025_09,29,4133,False,False,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,170542,126930,43612,579.213,12,1
10,aime2025_10,156,133,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,174336,131566,42770,569.088,12,1
11,aime2025_11,896,584,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,143201,114282,28919,384.999,12,1
12,aime2025_12,161,161,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,123315,98860,24455,324.288,12,1
13,aime2025_13,39,39,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,165446,130112,35334,470.173,12,1
14,aime2025_14,681,681,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,110315,83059,27256,359.246,11,1
15,aime2025_15,83,1,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,106119,81455,24664,327.074,12,1
16,aime2025_16,178,178,True,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,True,Aria:/; Artemis:/,Aria:; Artemis:,90200,75772,14428,192.13,12,1
17,aime2025_17,243,69,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,170895,128071,42824,570.247,12,1
18,aime2025_18,503,505,False,True,closed_out_simple_answer_arbitration,athena_mandatory_final_answer_turn,,False,Aria:/; Artemis:/,Aria:; Artemis:,168772,132041,36731,491.127,12,1
