run_key,run_label,id,idx,answer,expected_answer,correct,closeout_mode,time_taken_seconds,total_prompt_tokens,total_completion_tokens,total_tokens,transcript_chars,turns,loops,verified,status
unrestricted,Unrestricted one-loop,aime2026_01,1,277,277,True,Strict consensus,252.5908,1039760,9410,1049170,26825,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_02,2,62,62,True,Strict consensus,282.5942,1063348,11211,1074559,32769,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_03,3,79,79,True,Strict consensus,241.3054,1023013,8917,1031930,28622,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_04,4,70,70,True,Majority vote,244.3833,1029439,9054,1038493,27144,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_05,5,65,65,True,Majority vote,232.8215,1026891,8365,1035256,27258,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_06,6,441,441,True,Strict consensus,259.121,1045831,9863,1055694,27228,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_07,7,396,396,True,Strict consensus,289.676,1057136,11662,1068798,31062,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_08,8,244,244,True,Strict consensus,356.8205,1111510,15496,1127006,39866,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_09,9,13,29,False,Strict consensus,385.4591,1138535,17031,1155566,48287,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_10,10,134,156,False,Strict consensus,421.3933,1156783,19222,1176005,56497,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_11,11,896,896,True,Strict consensus,306.0137,1099658,12382,1112040,38072,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_12,12,161,161,True,Strict consensus,463.928,1183237,21512,1204749,53114,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_13,13,79,39,False,Majority vote,344.241,1116546,14777,1131323,38283,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_14,14,676,681,False,Majority vote,563.2667,1176947,28085,1205032,72698,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_15,15,2,83,False,Majority vote,411.8932,1103226,19160,1122386,61382,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_16,16,178,178,True,Strict consensus,236.3964,1014542,8649,1023191,25712,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_17,17,243,243,True,Majority vote,696.3507,1192697,36048,1228745,89456,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_18,18,997,503,False,Majority vote,450.3463,1165931,20845,1186776,54366,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_19,19,279,279,True,Strict consensus,314.4924,1091207,12949,1104156,36640,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_20,20,190,190,True,Majority vote,246.7681,1035890,9110,1045000,27154,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_21,21,50,50,True,Majority vote,340.5646,1110990,14464,1125454,42715,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_22,22,754,754,True,Strict consensus,310.0993,1084909,12677,1097586,35279,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_23,23,245,245,True,Majority vote,715.0727,1222416,36809,1259225,71086,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_24,24,669,669,True,Majority vote,437.7933,1156120,20263,1176383,46777,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_25,25,850,850,True,Strict consensus,338.951,1135781,14112,1149893,39314,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_26,26,132,132,True,Majority vote,372.437,1127279,16282,1143561,48550,11,1,true,closed_out_hierarchical_fallback_majority_vote
unrestricted,Unrestricted one-loop,aime2026_27,27,223,223,True,Strict consensus,309.0078,1093093,12569,1105662,32503,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_28,28,107,107,True,Strict consensus,525.0314,1157118,25815,1182933,67964,11,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
unrestricted,Unrestricted one-loop,aime2026_29,29,34,157,False,Highest confidence,512.7946,1152813,24988,1177801,59338,11,1,true,closed_out_hierarchical_fallback_highest_confidence
unrestricted,Unrestricted one-loop,aime2026_30,30,367,393,False,Majority vote,550.1106,1141700,27444,1169144,68324,11,1,true,closed_out_hierarchical_fallback_majority_vote
