"run_key","run_label","idx","id","answer","expected_answer","correct","valid_answer","status","closeout_mode","total_tokens","time_taken_seconds","turns","loops","total_prompt_tokens","total_completion_tokens","peer_validation_ready","peer_candidates","athena_confidence_pct"
"frozen","Frozen pruned","1","aime2026_01","277","277","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","695404","139.609","9","1","690401","5003","","",""
"frozen","Frozen pruned","2","aime2026_02","62","62","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","710845","184.0094","9","1","702957","7888","","",""
"frozen","Frozen pruned","3","aime2026_03","79","79","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","702855","157.0014","9","1","696709","6146","","",""
"frozen","Frozen pruned","4","aime2026_04","70","70","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","699345","149.9743","9","1","693650","5695","","",""
"frozen","Frozen pruned","5","aime2026_05","65","65","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","716821","196.3436","9","1","708239","8582","","",""
"frozen","Frozen pruned","6","aime2026_06","441","441","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","697554","143.9269","9","1","692265","5289","","",""
"frozen","Frozen pruned","7","aime2026_07","396","396","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","709711","181.2938","9","1","701994","7717","","",""
"frozen","Frozen pruned","8","aime2026_08","244","244","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","703053","159.9178","9","1","696753","6300","","",""
"frozen","Frozen pruned","9","aime2026_09","239","29","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","719314","206.9014","9","1","710038","9276","","",""
"frozen","Frozen pruned","10","aime2026_10","195","156","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","719486","209.8239","9","1","710002","9484","","",""
"frozen","Frozen pruned","11","aime2026_11","8","896","False","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","711396","179.6747","9","1","703866","7530","","",""
"frozen","Frozen pruned","12","aime2026_12","37","161","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","720114","209.9483","9","1","710631","9483","","",""
"frozen","Frozen pruned","13","aime2026_13","58","39","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","720072","210.0039","9","1","710589","9483","","",""
"frozen","Frozen pruned","14","aime2026_14","382","681","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","716369","198.8761","9","1","707625","8744","","",""
"frozen","Frozen pruned","15","aime2026_15","1","83","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","718849","205.3026","9","1","709645","9204","","",""
"frozen","Frozen pruned","16","aime2026_16","178","178","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","695300","139.2602","9","1","690292","5008","","",""
"frozen","Frozen pruned","17","aime2026_17","10","243","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","721538","210.1997","9","1","712055","9483","","",""
"frozen","Frozen pruned","18","aime2026_18","999","503","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","719602","209.4867","9","1","710151","9451","","",""
"frozen","Frozen pruned","19","aime2026_19","271","279","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","701936","157.6949","9","1","695780","6156","","",""
"frozen","Frozen pruned","20","aime2026_20","190","190","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","698679","143.8037","9","1","693462","5217","","",""
"frozen","Frozen pruned","21","aime2026_21","50","50","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","717023","201.8727","9","1","708050","8973","","",""
"frozen","Frozen pruned","22","aime2026_22","754","754","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","710160","175.6814","9","1","702849","7311","","",""
"frozen","Frozen pruned","23","aime2026_23","125","245","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","719205","209.8621","9","1","709721","9484","","",""
"frozen","Frozen pruned","24","aime2026_24","669","669","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","708800","174.6898","9","1","701565","7235","","",""
"frozen","Frozen pruned","25","aime2026_25","850","850","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","703136","161.0107","9","1","696752","6384","","",""
"frozen","Frozen pruned","26","aime2026_26","132","132","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","706251","165.9005","9","1","699561","6690","","",""
"frozen","Frozen pruned","27","aime2026_27","97","223","False","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","714856","191.1712","9","1","706600","8256","","",""
"frozen","Frozen pruned","28","aime2026_28","4040","107","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","719067","209.9312","9","1","709582","9485","","",""
"frozen","Frozen pruned","29","aime2026_29","65","157","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","716415","196.2257","9","1","707844","8571","","",""
"frozen","Frozen pruned","30","aime2026_30","153","393","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","719855","210.0297","9","1","710371","9484","","",""
