run_key,run_label,id,idx,answer,expected_answer,correct,closeout_mode,time_taken_seconds,total_prompt_tokens,total_completion_tokens,total_tokens,transcript_chars,turns,loops,verified,status
frozen,Frozen pruned,aime2026_01,1,277,277,True,Strict consensus,139.609,690401,5003,695404,13802,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_02,2,62,62,True,Strict consensus,184.0094,702957,7888,710845,18292,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_03,3,79,79,True,Strict consensus,157.0014,696709,6146,702855,17697,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_04,4,70,70,True,Strict consensus,149.9743,693650,5695,699345,15673,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_05,5,65,65,True,Strict consensus,196.3436,708239,8582,716821,21803,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_06,6,441,441,True,Strict consensus,143.9269,692265,5289,697554,14456,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_07,7,396,396,True,Majority vote,181.2938,701994,7717,709711,18039,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_08,8,244,244,True,Strict consensus,159.9178,696753,6300,703053,15986,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_09,9,239,29,False,Majority vote,206.9014,710038,9276,719314,23637,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_10,10,195,156,False,Highest confidence,209.8239,710002,9484,719486,21399,9,1,true,closed_out_hierarchical_fallback_highest_confidence
frozen,Frozen pruned,aime2026_11,11,8,896,False,Strict consensus,179.6747,703866,7530,711396,22479,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_12,12,37,161,False,Highest confidence,209.9483,710631,9483,720114,21121,9,1,true,closed_out_hierarchical_fallback_highest_confidence
frozen,Frozen pruned,aime2026_13,13,58,39,False,Highest confidence,210.0039,710589,9483,720072,21594,9,1,true,closed_out_hierarchical_fallback_highest_confidence
frozen,Frozen pruned,aime2026_14,14,382,681,False,Majority vote,198.8761,707625,8744,716369,20808,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_15,15,1,83,False,Majority vote,205.3026,709645,9204,718849,28441,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_16,16,178,178,True,Strict consensus,139.2602,690292,5008,695300,12361,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_17,17,10,243,False,Highest confidence,210.1997,712055,9483,721538,25363,9,1,true,closed_out_hierarchical_fallback_highest_confidence
frozen,Frozen pruned,aime2026_18,18,999,503,False,Majority vote,209.4867,710151,9451,719602,22588,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_19,19,271,279,False,Majority vote,157.6949,695780,6156,701936,16373,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_20,20,190,190,True,Strict consensus,143.8037,693462,5217,698679,13666,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_21,21,50,50,True,Strict consensus,201.8727,708050,8973,717023,22792,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_22,22,754,754,True,Strict consensus,175.6814,702849,7311,710160,19195,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_23,23,125,245,False,Highest confidence,209.8621,709721,9484,719205,18957,9,1,true,closed_out_hierarchical_fallback_highest_confidence
frozen,Frozen pruned,aime2026_24,24,669,669,True,Strict consensus,174.6898,701565,7235,708800,15395,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_25,25,850,850,True,Strict consensus,161.0107,696752,6384,703136,16245,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_26,26,132,132,True,Strict consensus,165.9005,699561,6690,706251,18062,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_27,27,97,223,False,Strict consensus,191.1712,706600,8256,714856,21839,9,1,true,closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization
frozen,Frozen pruned,aime2026_28,28,4040,107,False,Highest confidence,209.9312,709582,9485,719067,25979,9,1,true,closed_out_hierarchical_fallback_highest_confidence
frozen,Frozen pruned,aime2026_29,29,65,157,False,Majority vote,196.2257,707844,8571,716415,22215,9,1,true,closed_out_hierarchical_fallback_majority_vote
frozen,Frozen pruned,aime2026_30,30,153,393,False,Highest confidence,210.0297,710371,9484,719855,21785,9,1,true,closed_out_hierarchical_fallback_highest_confidence
