run,qid,problem_number,submitted,expected,correct,status,verified,loops,turns,time_taken_seconds,sum_turn_wall_seconds,total_tokens,peer_validation_status,open_objections,athena_candidate,athena_confidence,aria_candidate,aria_confidence,artemis_candidate,artemis_confidence,athena_tokens,aria_tokens,artemis_tokens,payload_path,transcript_path
AIME-2026_export_explicit_problem_indices_3q_20260427-130343,aime2025_01,1,277,277,True,closed_out_simple_answer_arbitration,true,1,10,275.5893,275.5344,77824,confidence_aligned,,277,87,277,92,277,92,5724,46482,25618,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-130343\result_payloads\aime2025_01.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-130343/transcripts/aime2025_01.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-145911,aime2025_01,1,277,277,True,closed_out_simple_answer_arbitration,true,1,10,128.7722,128.7336,48051,answer_aligned_reports_collapsed,"Aria report missing header lines: invalid_final_answer_block, final_answer_block_boxed_count_not_one. | Artemis report missing header lines: invalid_final_answer_block, final_answer_block_boxed_count_not_one. | All three models have not yet supplied confidence strictly above 85.",277,72,277,92,277,92,6105,20477,21469,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-145911\result_payloads\aime2025_01.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-145911/transcripts/aime2025_01.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-155720,aime2025_01,1,277,277,True,closed_out_simple_answer_arbitration,true,1,12,185.5539,185.0868,88360,confidence_aligned,,277,87,277,100,277,100,14835,28892,44633,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-155720\result_payloads\aime2025_01.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-155720/transcripts/aime2025_01.txt
AIME-2026_export_explicit_problem_indices_3q_20260429-032853,aime2025_01,1,277,277,True,closed_out_simple_answer_arbitration,true,1,12,559.7401,544.4005,2154552,confidence_aligned,,277,100,277,92,277,100,440338,520498,1193716,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260429-032853\result_payloads\aime2025_01.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260429-032853/transcripts/aime2025_01.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-173219,aime2025_01,1,277,277,True,closed_out_simple_answer_arbitration,true,1,12,212.0145,211.5295,98267,answer_aligned_waiting_confidence,All three models have not yet supplied confidence strictly above 85.,277,100,277,100,277,100,12020,33544,52703,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-173219\result_payloads\aime2025_01.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-173219/transcripts/aime2025_01.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_01,1,277,277,True,closed_out_simple_answer_arbitration,true,1,12,228.912,228.4019,105380,confidence_aligned,,277,95,277,98,277,98,12276,30167,62937,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_01.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_01.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-130343,aime2025_02,2,36,62,False,closed_out_simple_answer_arbitration,true,1,11,261.6508,261.5964,81465,disagreement_open,Aria and Artemis do not yet agree on the same exact integer answer.,36,78,36,92,61,92,11268,23774,46423,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-130343\result_payloads\aime2025_02.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-130343/transcripts/aime2025_02.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-145911,aime2025_02,2,0,62,False,loop_exhausted_without_final,false,1,11,233.5667,233.5221,75247,insufficient_peer_validation,"Aria report missing header lines: invalid_final_answer_block, final_answer_block_boxed_count_not_one. | Artemis report missing header lines: report_slots, report, final_answer_block, report_verdict. | Athena does not yet have an exact integer candidate.",none,0,none,0,none,0,9973,21563,43711,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-145911\result_payloads\aime2025_02.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-145911/transcripts/aime2025_02.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-155720,aime2025_02,2,62,62,True,closed_out_simple_answer_arbitration,true,1,12,297.4681,296.945,110419,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,62,100,62,95,62,99,17795,35893,56731,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-155720\result_payloads\aime2025_02.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-155720/transcripts/aime2025_02.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-173219,aime2025_02,2,62,62,True,closed_out_simple_answer_arbitration,true,1,12,309.283,308.7233,117945,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,62,100,62,100,62,100,19330,37488,61127,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-173219\result_payloads\aime2025_02.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-173219/transcripts/aime2025_02.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_02,2,62,62,True,closed_out_simple_answer_arbitration,true,1,12,357.7149,357.0999,135253,confidence_aligned,,62,100,62,100,62,100,17801,40786,76666,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_02.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_02.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-130343,aime2025_03,3,79,79,True,closed_out_simple_answer_arbitration,true,1,11,456.1816,456.1187,133395,answer_aligned_reports_collapsed,Aria and Artemis final reports are not yet distinct enough to count as independent proof-vs-audit validation. | All three models have not yet supplied confidence strictly above 85.,79,76,79,92,79,92,12555,48038,72802,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-130343\result_payloads\aime2025_03.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-130343/transcripts/aime2025_03.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-145911,aime2025_03,3,79,79,True,closed_out_simple_answer_arbitration,true,1,11,175.8505,175.8095,61392,answer_aligned_reports_collapsed,"Aria report missing header lines: report_slots, report, final_answer_block, report_verdict, proof_substance. | Artemis report missing header lines: invalid_final_answer_block, final_answer_block_boxed_count_not_one. | All three models have not yet supplied confidence strictly above 85.",79,72,79,95,79,95,7717,20973,32702,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-145911\result_payloads\aime2025_03.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-145911/transcripts/aime2025_03.txt
AIME-2026_export_explicit_problem_indices_3q_20260427-155720,aime2025_03,3,79,79,True,closed_out_simple_answer_arbitration,true,1,12,251.6388,251.0994,106760,confidence_aligned,,79,87,79,100,79,100,18705,32191,55864,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_3q_20260427-155720\result_payloads\aime2025_03.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_3q_20260427-155720/transcripts/aime2025_03.txt
AIME-2026_export_explicit_problem_indices_5q_20260427-173219,aime2025_03,3,79,79,True,closed_out_simple_answer_arbitration,true,1,12,294.0366,293.4754,114524,confidence_aligned,,79,100,79,95,79,99,17609,35868,61047,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_5q_20260427-173219\result_payloads\aime2025_03.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_5q_20260427-173219/transcripts/aime2025_03.txt
AIME-2026_export_full_dataset_30q_20260428-022518,aime2025_03,3,79,79,True,closed_out_simple_answer_arbitration,true,1,12,273.9094,273.3624,110137,confidence_aligned,,79,100,79,100,79,100,16725,34807,58605,N:\Research\colab_outputs\AIME-2026_export_full_dataset_30q_20260428-022518\result_payloads\aime2025_03.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_full_dataset_30q_20260428-022518/transcripts/aime2025_03.txt
AIME-2026_export_explicit_problem_indices_1q_20260427-164513,aime2025_04,4,70,70,True,closed_out_simple_answer_arbitration,true,1,12,274.6767,274.1589,108912,peer_aligned_waiting_athena,Athena does not yet have an exact integer candidate.,70,98,70,98,70,98,19948,33983,54981,N:\Research\colab_outputs\AIME-2026_export_explicit_problem_indices_1q_20260427-164513\result_payloads\aime2025_04.json,/content/drive/MyDrive/AthenaV5_colab/outputs/AIME-2026_export_explicit_problem_indices_1q_20260427-164513/transcripts/aime2025_04.txt
