price_key,label,vendor,service,machine_or_gpu,gpu_model,gpu_count,gpu_memory_gb_total,hourly_usd,price_basis,source_url,notes,include_in_full_matrix
colab_observed_cu_rate,Observed Colab CU rate,Google Colab,Consumer Colab CU runtime,runtime assigned by Colab,varies by availability,,,0.725833333,User supplied: 600 compute units for $50 and 8.71 compute units per hour.,user_provided_observation,This is the actual observed runtime cost. Colab GPU type is not guaranteed.,yes
colab_enterprise_a100_80gb_accelerator,Colab Enterprise A100 80GB GPU,Google Cloud,Colab Enterprise accelerator,Nvidia Tesla A100 80GB,A100 80GB,1,80,4.713696000,"Accelerator price only; VM CPU, RAM, disk, and network separate.",https://cloud.google.com/colab/pricing,Official Colab Enterprise accelerator pricing page. Included as a Google notebook-adjacent 80GB baseline.,yes
vertex_g4_standard_48_rtx_pro_6000_1g,G4 RTX PRO 6000 96GB 1x,Google Cloud Vertex AI,Vertex AI custom training machine,g4-standard-48,RTX PRO 6000 Blackwell,1,96,5.175087630,Full machine price from Vertex AI G4 pricing table.,https://cloud.google.com/vertex-ai/pricing,G4 uses RTX PRO 6000 with 96 GB GPU memory according to Google Compute GPU docs.,yes
vertex_a2_ultra_a100_80gb_1g,A2 Ultra A100 80GB 1x,Google Cloud Vertex AI,Vertex AI custom training machine,a2-ultragpu-1g,A100 80GB,1,80,5.781847400,Full machine price from Vertex AI A2 pricing table.,https://cloud.google.com/vertex-ai/pricing,Included because A100 80GB is the common high-memory comparison point.,yes
vertex_a3_high_h100_80gb_1g_derived,A3 High H100 80GB 1x,Google Cloud Vertex AI,Vertex AI derived from A3 item prices,a3-highgpu-1g derived,H100 80GB,1,80,12.625919000,"Derived from A3 docs/specs: 26 vCPU, 234 GB RAM, 1 H100 80GB; Vertex item prices for vCPU, RAM, GPU.",https://cloud.google.com/vertex-ai/pricing and https://docs.cloud.google.com/compute/docs/gpus,Derived one-GPU H100 baseline. The published a3-highgpu-8g table row gives the same per-GPU scale.,yes
vertex_g4_standard_384_rtx_pro_6000_8g,G4 RTX PRO 6000 96GB 8x,Google Cloud Vertex AI,Vertex AI custom training machine,g4-standard-384,RTX PRO 6000 Blackwell,8,768,41.400701040,Full machine price from Vertex AI G4 pricing table.,https://cloud.google.com/vertex-ai/pricing,The 8-GPU G4 system is included because it is the highest-memory G4 shape.,yes
vertex_a4x_gb200_4g,A4X GB200 186GB 4x,Google Cloud Vertex AI,Vertex AI custom training machine,a4x-highgpu-4g,GB200,4,744,74.750000000,Full machine price from Vertex AI A4X pricing table.,https://cloud.google.com/vertex-ai/pricing,"Google notes a4x-highgpu-4g requires at least 18 VMs; this row is per VM, not minimum cluster spend.",yes
vertex_a3_ultra_h200_141gb_8g,A3 Ultra H200 141GB 8x,Google Cloud Vertex AI,Vertex AI custom training machine,a3-ultragpu-8g,H200 141GB,8,1128,99.773929600,Full machine price from Vertex AI A3 Ultra pricing table.,https://cloud.google.com/vertex-ai/pricing,H200 has 141 GB per GPU according to Google Compute GPU docs.,yes
vertex_a3_high_h100_80gb_8g,A3 High H100 80GB 8x,Google Cloud Vertex AI,Vertex AI custom training machine,a3-highgpu-8g,H100 80GB,8,640,101.007352000,Full machine price from Vertex AI A3 pricing table.,https://cloud.google.com/vertex-ai/pricing,Included as the full 8-GPU H100 system baseline.,yes
vertex_a4_b200_180gb_8g,A4 B200 180GB 8x,Google Cloud Vertex AI,Vertex AI custom training machine,a4-highgpu-8g,B200,8,1440,148.212000000,Full machine price from Vertex AI A4 pricing table.,https://cloud.google.com/vertex-ai/pricing,B200 has 180 GB per GPU according to Google Compute GPU docs.,yes
