id,idx,frozen_answer,expected_answer,frozen_correct,frozen_closeout,frozen_seconds,frozen_completion_tokens,frozen_total_tokens,frozen_transcript_chars,unrestricted_answer,unrestricted_correct,unrestricted_closeout,unrestricted_seconds,unrestricted_completion_tokens,unrestricted_total_tokens,unrestricted_transcript_chars,delta_correct,outcome_shift,delta_seconds,delta_completion_tokens,delta_transcript_chars
aime2026_01,1,277,277,True,Strict consensus,139.609,5003,695404,13802,277,True,Strict consensus,252.5908,9410,1049170,26825,0,Both correct,112.98179999999999,4407,13023
aime2026_02,2,62,62,True,Strict consensus,184.0094,7888,710845,18292,62,True,Strict consensus,282.5942,11211,1074559,32769,0,Both correct,98.5848,3323,14477
aime2026_03,3,79,79,True,Strict consensus,157.0014,6146,702855,17697,79,True,Strict consensus,241.3054,8917,1031930,28622,0,Both correct,84.304,2771,10925
aime2026_04,4,70,70,True,Strict consensus,149.9743,5695,699345,15673,70,True,Majority vote,244.3833,9054,1038493,27144,0,Both correct,94.40899999999999,3359,11471
aime2026_05,5,65,65,True,Strict consensus,196.3436,8582,716821,21803,65,True,Majority vote,232.8215,8365,1035256,27258,0,Both correct,36.47789999999998,-217,5455
aime2026_06,6,441,441,True,Strict consensus,143.9269,5289,697554,14456,441,True,Strict consensus,259.121,9863,1055694,27228,0,Both correct,115.19409999999999,4574,12772
aime2026_07,7,396,396,True,Majority vote,181.2938,7717,709711,18039,396,True,Strict consensus,289.676,11662,1068798,31062,0,Both correct,108.38219999999998,3945,13023
aime2026_08,8,244,244,True,Strict consensus,159.9178,6300,703053,15986,244,True,Strict consensus,356.8205,15496,1127006,39866,0,Both correct,196.90269999999998,9196,23880
aime2026_09,9,239,29,False,Majority vote,206.9014,9276,719314,23637,13,False,Strict consensus,385.4591,17031,1155566,48287,0,Both missed,178.55769999999998,7755,24650
aime2026_10,10,195,156,False,Highest confidence,209.8239,9484,719486,21399,134,False,Strict consensus,421.3933,19222,1176005,56497,0,Both missed,211.5694,9738,35098
aime2026_11,11,8,896,False,Strict consensus,179.6747,7530,711396,22479,896,True,Strict consensus,306.0137,12382,1112040,38072,1,Recovered by unrestricted,126.33899999999997,4852,15593
aime2026_12,12,37,161,False,Highest confidence,209.9483,9483,720114,21121,161,True,Strict consensus,463.928,21512,1204749,53114,1,Recovered by unrestricted,253.9797,12029,31993
aime2026_13,13,58,39,False,Highest confidence,210.0039,9483,720072,21594,79,False,Majority vote,344.241,14777,1131323,38283,0,Both missed,134.2371,5294,16689
aime2026_14,14,382,681,False,Majority vote,198.8761,8744,716369,20808,676,False,Majority vote,563.2667,28085,1205032,72698,0,Both missed,364.3906,19341,51890
aime2026_15,15,1,83,False,Majority vote,205.3026,9204,718849,28441,2,False,Majority vote,411.8932,19160,1122386,61382,0,Both missed,206.59059999999997,9956,32941
aime2026_16,16,178,178,True,Strict consensus,139.2602,5008,695300,12361,178,True,Strict consensus,236.3964,8649,1023191,25712,0,Both correct,97.1362,3641,13351
aime2026_17,17,10,243,False,Highest confidence,210.1997,9483,721538,25363,243,True,Majority vote,696.3507,36048,1228745,89456,1,Recovered by unrestricted,486.15099999999995,26565,64093
aime2026_18,18,999,503,False,Majority vote,209.4867,9451,719602,22588,997,False,Majority vote,450.3463,20845,1186776,54366,0,Both missed,240.85959999999997,11394,31778
aime2026_19,19,271,279,False,Majority vote,157.6949,6156,701936,16373,279,True,Strict consensus,314.4924,12949,1104156,36640,1,Recovered by unrestricted,156.79749999999999,6793,20267
aime2026_20,20,190,190,True,Strict consensus,143.8037,5217,698679,13666,190,True,Majority vote,246.7681,9110,1045000,27154,0,Both correct,102.96440000000001,3893,13488
aime2026_21,21,50,50,True,Strict consensus,201.8727,8973,717023,22792,50,True,Majority vote,340.5646,14464,1125454,42715,0,Both correct,138.69189999999998,5491,19923
aime2026_22,22,754,754,True,Strict consensus,175.6814,7311,710160,19195,754,True,Strict consensus,310.0993,12677,1097586,35279,0,Both correct,134.41790000000003,5366,16084
aime2026_23,23,125,245,False,Highest confidence,209.8621,9484,719205,18957,245,True,Majority vote,715.0727,36809,1259225,71086,1,Recovered by unrestricted,505.21060000000006,27325,52129
aime2026_24,24,669,669,True,Strict consensus,174.6898,7235,708800,15395,669,True,Majority vote,437.7933,20263,1176383,46777,0,Both correct,263.1035,13028,31382
aime2026_25,25,850,850,True,Strict consensus,161.0107,6384,703136,16245,850,True,Strict consensus,338.951,14112,1149893,39314,0,Both correct,177.9403,7728,23069
aime2026_26,26,132,132,True,Strict consensus,165.9005,6690,706251,18062,132,True,Majority vote,372.437,16282,1143561,48550,0,Both correct,206.53650000000002,9592,30488
aime2026_27,27,97,223,False,Strict consensus,191.1712,8256,714856,21839,223,True,Strict consensus,309.0078,12569,1105662,32503,1,Recovered by unrestricted,117.83659999999998,4313,10664
aime2026_28,28,4040,107,False,Highest confidence,209.9312,9485,719067,25979,107,True,Strict consensus,525.0314,25815,1182933,67964,1,Recovered by unrestricted,315.1002,16330,41985
aime2026_29,29,65,157,False,Majority vote,196.2257,8571,716415,22215,34,False,Highest confidence,512.7946,24988,1177801,59338,0,Both missed,316.5689,16417,37123
aime2026_30,30,153,393,False,Highest confidence,210.0297,9484,719855,21785,367,False,Majority vote,550.1106,27444,1169144,68324,0,Both missed,340.0809,17960,46539
