run_key,run_label,run_short_label,claim_class,idx,expected_answer,submitted_answer,correct,total_tokens,seconds
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,1,277,277,True,695404,139.609
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,1,277,277,True,1049170,252.591
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,1,277,277,True,98267,212.014
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,1,277,277,True,105380,228.912
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,1,277,277,True,2536058,638.5549
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,2,62,62,True,710845,184.009
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,2,62,62,True,1074559,282.594
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,2,62,62,True,117945,309.283
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,2,62,62,True,135253,357.715
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,2,62,62,True,2790160,833.6364
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,3,79,79,True,702855,157.001
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,3,79,79,True,1031930,241.305
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,3,79,79,True,114524,294.037
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,3,79,79,True,110137,273.909
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,3,79,79,True,2786781,804.1518
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,4,70,70,True,699345,149.974
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,4,70,70,True,1038493,244.383
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,4,70,137,False,99911,227.677
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,4,70,70,True,111291,279.119
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,4,70,137,False,8535099,2970.1975
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,5,65,65,True,716821,196.344
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,5,65,65,True,1035256,232.821
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,5,65,65,True,95915,209.728
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,5,65,65,True,116443,281.259
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,5,65,65,True,2543189,701.4019
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,6,441,441,True,697554,143.927
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,6,441,441,True,1055694,259.121
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,6,441,441,True,111256,265.097
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,6,441,441,True,110072,268.673
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,6,441,441,True,2531716,643.9459
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,7,396,396,True,709711,181.294
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,7,396,396,True,1068798,289.676
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,7,396,396,True,94277,206.635
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,7,396,341,False,99059,229.245
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,7,396,396,True,2790287,813.6239
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,8,244,244,True,703053,159.918
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,8,244,244,True,1127006,356.82
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,8,244,244,True,125208,313.103
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,8,244,244,True,105509,239.93
v34,Artifact 06 V34 answer-aware replay,V34 answer-aware,answer-aware context-recall replay,8,244,244,True,2807431,880.9996
frozen,Artifact 01 frozen pruned,Frozen,blind/pruned baseline,9,29,239,False,719314,206.901
unrestricted,Artifact 02 unrestricted,Unrestricted,high-budget reference,9,29,13,False,1155566,385.459
current,Artifact 03 Apr27 benchmarkgrade,Apr27 benchmark,compact benchmarkgrade,9,29,6,False,152775,433.079
official,Artifact 04 Apr28 RAB v33,Apr28 RAB v33,Runtime-at-Boot negative diagnostic,9,29,4133,False,170542,579.213
