"run_key","run_label","idx","id","answer","expected_answer","correct","valid_answer","status","closeout_mode","total_tokens","time_taken_seconds","turns","loops","total_prompt_tokens","total_completion_tokens","peer_validation_ready","peer_candidates","athena_confidence_pct"
"unrestricted","Unrestricted","1","aime2026_01","277","277","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1049170","252.5908","11","1","1039760","9410","","",""
"unrestricted","Unrestricted","2","aime2026_02","62","62","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1074559","282.5942","11","1","1063348","11211","","",""
"unrestricted","Unrestricted","3","aime2026_03","79","79","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1031930","241.3054","11","1","1023013","8917","","",""
"unrestricted","Unrestricted","4","aime2026_04","70","70","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1038493","244.3833","11","1","1029439","9054","","",""
"unrestricted","Unrestricted","5","aime2026_05","65","65","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1035256","232.8215","11","1","1026891","8365","","",""
"unrestricted","Unrestricted","6","aime2026_06","441","441","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1055694","259.121","11","1","1045831","9863","","",""
"unrestricted","Unrestricted","7","aime2026_07","396","396","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1068798","289.676","11","1","1057136","11662","","",""
"unrestricted","Unrestricted","8","aime2026_08","244","244","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1127006","356.8205","11","1","1111510","15496","","",""
"unrestricted","Unrestricted","9","aime2026_09","13","29","False","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1155566","385.4591","11","1","1138535","17031","","",""
"unrestricted","Unrestricted","10","aime2026_10","134","156","False","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1176005","421.3933","11","1","1156783","19222","","",""
"unrestricted","Unrestricted","11","aime2026_11","896","896","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1112040","306.0137","11","1","1099658","12382","","",""
"unrestricted","Unrestricted","12","aime2026_12","161","161","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1204749","463.928","11","1","1183237","21512","","",""
"unrestricted","Unrestricted","13","aime2026_13","79","39","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1131323","344.241","11","1","1116546","14777","","",""
"unrestricted","Unrestricted","14","aime2026_14","676","681","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1205032","563.2667","11","1","1176947","28085","","",""
"unrestricted","Unrestricted","15","aime2026_15","2","83","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1122386","411.8932","11","1","1103226","19160","","",""
"unrestricted","Unrestricted","16","aime2026_16","178","178","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1023191","236.3964","11","1","1014542","8649","","",""
"unrestricted","Unrestricted","17","aime2026_17","243","243","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1228745","696.3507","11","1","1192697","36048","","",""
"unrestricted","Unrestricted","18","aime2026_18","997","503","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1186776","450.3463","11","1","1165931","20845","","",""
"unrestricted","Unrestricted","19","aime2026_19","279","279","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1104156","314.4924","11","1","1091207","12949","","",""
"unrestricted","Unrestricted","20","aime2026_20","190","190","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1045000","246.7681","11","1","1035890","9110","","",""
"unrestricted","Unrestricted","21","aime2026_21","50","50","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1125454","340.5646","11","1","1110990","14464","","",""
"unrestricted","Unrestricted","22","aime2026_22","754","754","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1097586","310.0993","11","1","1084909","12677","","",""
"unrestricted","Unrestricted","23","aime2026_23","245","245","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1259225","715.0727","11","1","1222416","36809","","",""
"unrestricted","Unrestricted","24","aime2026_24","669","669","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1176383","437.7933","11","1","1156120","20263","","",""
"unrestricted","Unrestricted","25","aime2026_25","850","850","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1149893","338.951","11","1","1135781","14112","","",""
"unrestricted","Unrestricted","26","aime2026_26","132","132","True","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1143561","372.437","11","1","1127279","16282","","",""
"unrestricted","Unrestricted","27","aime2026_27","223","223","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1105662","309.0078","11","1","1093093","12569","","",""
"unrestricted","Unrestricted","28","aime2026_28","107","107","True","True","closed_out_exact_integer_consensus_strict_confidence_on_athena_finalization","Strict consensus","1182933","525.0314","11","1","1157118","25815","","",""
"unrestricted","Unrestricted","29","aime2026_29","34","157","False","True","closed_out_hierarchical_fallback_highest_confidence","Highest confidence","1177801","512.7946","11","1","1152813","24988","","",""
"unrestricted","Unrestricted","30","aime2026_30","367","393","False","True","closed_out_hierarchical_fallback_majority_vote","Majority vote","1169144","550.1106","11","1","1141700","27444","","",""
